#TYPE Selected.System.ServiceProcess.ServiceController
"Name","Status","StartType"
"AJRouter","Stopped","Manual"
"ALG","Stopped","Manual"
"AppIDSvc","Stopped","Manual"
"AppMgmt","Stopped","Manual"
"AppReadiness","Stopped","Manual"
"AppVClient","Stopped","Disabled"
"AppXSvc","Stopped","Manual"
"AssignedAccessManagerSvc","Stopped","Manual"
"AxInstSV","Stopped","Manual"
"BcastDVRUserService_fd5af8","Stopped","Manual"
"BDESVC","Stopped","Manual"
"BITS","Stopped","Manual"
"BluetoothUserService_fd5af8","Stopped","Manual"
"BTAGService","Stopped","Manual"
"bthserv","Stopped","Manual"
"camsvc","Stopped","Manual"
"CaptureService_fd5af8","Stopped","Manual"
"CertPropSvc","Stopped","Manual"
"ClipSVC","Stopped","Manual"
"ConsentUxUserSvc_fd5af8","Stopped","Manual"
"CscService","Stopped","Manual"
"defragsvc","Stopped","Manual"
"DeviceAssociationService","Stopped","Manual"
"DevicePickerUserSvc_fd5af8","Stopped","Manual"
"DevicesFlowUserSvc_fd5af8","Stopped","Manual"
"DevQueryBroker","Stopped","Manual"
"diagnosticshub.standardcollector.service","Stopped","Disabled"
"diagsvc","Stopped","Manual"
"DisplayEnhancementService","Stopped","Manual"
"DmEnrollmentSvc","Stopped","Manual"
"dmwappushservice","Stopped","Manual"
"DoSvc","Stopped","Manual"
"dot3svc","Stopped","Manual"
"DPS","Stopped","Disabled"
"DsmSvc","Stopped","Manual"
"DsSvc","Stopped","Manual"
"DusmSvc","Stopped","Disabled"
"Eaphost","Stopped","Manual"
"EFS","Stopped","Manual"
"embeddedmode","Stopped","Manual"
"EntAppSvc","Stopped","Manual"
"Fax","Stopped","Manual"
"fdPHost","Stopped","Manual"
"FDResPub","Stopped","Manual"
"fhsvc","Stopped","Manual"
"FrameServer","Stopped","Manual"
"GoogleChromeElevationService","Stopped","Manual"
"GoogleUpdaterInternalService130.0.6679.0","Stopped","Automatic"
"GoogleUpdaterService130.0.6679.0","Stopped","Automatic"
"gpsvc","Stopped","Automatic"
"GraphicsPerfSvc","Stopped","Manual"
"hidserv","Stopped","Manual"
"HvHost","Stopped","Manual"
"icssvc","Stopped","Disabled"
"IKEEXT","Stopped","Manual"
"InstallService","Stopped","Manual"
"IpxlatCfgSvc","Stopped","Manual"
"irmon","Stopped","Manual"
"KtmRm","Stopped","Manual"
"lfsvc","Stopped","Manual"
"lltdsvc","Stopped","Manual"
"LxpSvc","Stopped","Manual"
"MapsBroker","Stopped","Automatic"
"MessagingService_fd5af8","Stopped","Manual"
"MSiSCSI","Stopped","Manual"
"msiserver","Stopped","Manual"
"NaturalAuthentication","Stopped","Manual"
"NcaSvc","Stopped","Manual"
"NcdAutoSetup","Stopped","Manual"
"Netlogon","Stopped","Manual"
"Netman","Stopped","Manual"
"NetSetupSvc","Stopped","Manual"
"NetTcpPortSharing","Stopped","Disabled"
"NgcCtnrSvc","Stopped","Manual"
"NgcSvc","Stopped","Manual"
"p2pimsvc","Stopped","Manual"
"p2psvc","Stopped","Manual"
"PeerDistSvc","Stopped","Manual"
"perceptionsimulation","Stopped","Manual"
"PerfHost","Stopped","Manual"
"PhoneSvc","Stopped","Manual"
"PimIndexMaintenanceSvc_fd5af8","Stopped","Manual"
"pla","Stopped","Manual"
"PNRPAutoReg","Stopped","Manual"
"PNRPsvc","Stopped","Manual"
"PolicyAgent","Stopped","Manual"
"PrintNotify","Stopped","Manual"
"PrintWorkflowUserSvc_fd5af8","Stopped","Manual"
"PushToInstall","Stopped","Manual"
"QWAVE","Stopped","Manual"
"RasAuto","Stopped","Manual"
"RasMan","Stopped","Manual"
"RemoteAccess","Stopped","Disabled"
"RemoteRegistry","Stopped","Disabled"
"RetailDemo","Stopped","Disabled"
"RmSvc","Stopped","Disabled"
"RpcLocator","Stopped","Manual"
"SCardSvr","Stopped","Manual"
"ScDeviceEnum","Stopped","Manual"
"SCPolicySvc","Stopped","Manual"
"SDRSVC","Stopped","Manual"
"seclogon","Stopped","Manual"
"SEMgrSvc","Stopped","Disabled"
"Sense","Stopped","Manual"
"SensorDataService","Stopped","Manual"
"SensorService","Stopped","Manual"
"SensrSvc","Stopped","Manual"
"SessionEnv","Stopped","Manual"
"SharedAccess","Stopped","Manual"
"SharedRealitySvc","Stopped","Manual"
"shpamsvc","Stopped","Disabled"
"smphost","Stopped","Manual"
"SmsRouter","Stopped","Manual"
"SNMPTRAP","Stopped","Manual"
"spectrum","Stopped","Manual"
"sppsvc","Stopped","Automatic"
"ssh-agent","Stopped","Disabled"
"SstpSvc","Stopped","Manual"
"stisvc","Stopped","Manual"
"svsvc","Stopped","Manual"
"swprv","Stopped","Manual"
"TapiSrv","Stopped","Manual"
"TermService","Stopped","Manual"
"TieringEngineService","Stopped","Manual"
"TrkWks","Stopped","Disabled"
"TrustedInstaller","Stopped","Manual"
"tzautoupdate","Stopped","Disabled"
"UevAgentService","Stopped","Disabled"
"UmRdpService","Stopped","Manual"
"UnistoreSvc_fd5af8","Stopped","Manual"
"upnphost","Stopped","Manual"
"UserDataSvc_fd5af8","Stopped","Manual"
"VacSvc","Stopped","Manual"
"vds","Stopped","Manual"
"vmicguestinterface","Stopped","Manual"
"vmicheartbeat","Stopped","Manual"
"vmickvpexchange","Stopped","Manual"
"vmicrdv","Stopped","Manual"
"vmicshutdown","Stopped","Manual"
"vmictimesync","Stopped","Manual"
"vmicvmsession","Stopped","Manual"
"vmicvss","Stopped","Manual"
"vmvss","Stopped","Manual"
"VSS","Stopped","Manual"
"W32Time","Stopped","Manual"
"WaaSMedicSvc","Stopped","Manual"
"WalletService","Stopped","Manual"
"WarpJITSvc","Stopped","Manual"
"wbengine","Stopped","Manual"
"WbioSrvc","Stopped","Manual"
"wcncsvc","Stopped","Manual"
"WdiServiceHost","Stopped","Manual"
"WdiSystemHost","Stopped","Manual"
"WebClient","Stopped","Manual"
"Wecsvc","Stopped","Manual"
"WEPHOSTSVC","Stopped","Manual"
"wercplsupport","Stopped","Manual"
"WerSvc","Stopped","Disabled"
"WFDSConMgrSvc","Stopped","Manual"
"WiaRpc","Stopped","Manual"
"WinRM","Stopped","Manual"
"wisvc","Stopped","Manual"
"WlanSvc","Stopped","Manual"
"wlidsvc","Stopped","Manual"
"wlpasvc","Stopped","Manual"
"WManSvc","Stopped","Manual"
"wmiApSrv","Stopped","Manual"
"WMPNetworkSvc","Stopped","Manual"
"workfolderssvc","Stopped","Manual"
"WpcMonSvc","Stopped","Manual"
"WPDBusEnum","Stopped","Manual"
"WSearch","Stopped","Disabled"
"wuauserv","Stopped","Manual"
"WwanSvc","Stopped","Manual"
"XblAuthManager","Stopped","Manual"
"XblGameSave","Stopped","Manual"
"XboxGipSvc","Stopped","Manual"
"XboxNetApiSvc","Stopped","Manual"
